topic_model__doc_topic_prior,topic_model__n_components,topic_model__topic_word_prior,score
0.1,13,,1406.1115575520437
0.1,13,0.05,1463.712620340677
0.1,13,0.1,1380.1474191859033
0.1,13,0.5,1365.2555423385343
0.1,13,1.0,1433.4684042799956
0.1,13,5.0,1582.7503099705596
0.1,13,10.0,1677.6706711500242
0.1,15,,1469.2323152498063
0.1,15,0.05,1512.0175053114986
0.1,15,0.1,1424.7568999190119
0.1,15,0.5,1394.1919952835842
0.1,15,1.0,1460.884784051153
0.1,15,5.0,1626.2201184970545
0.1,15,10.0,1618.9584902958934
0.1,17,,1533.8580507432725
0.1,17,0.05,1560.4382604017815
0.1,17,0.1,1469.7127480699187
0.1,17,0.5,1450.6149673601415
0.1,17,1.0,1511.892511425182
0.1,17,5.0,1641.1040141100116
0.1,17,10.0,1620.3223639332127
0.1,20,,1628.7260606097639
0.1,20,0.05,1628.7260606097639
0.1,20,0.1,1533.3813703479277
0.1,20,0.5,1498.834028094113
0.1,20,1.0,1539.7063026871422
0.1,20,5.0,1637.8937090731529
0.1,20,10.0,1652.1237250216036
0.1,25,,1803.0235018076503
0.1,25,0.05,1753.2169862929113
0.1,25,0.1,1650.3414896026275
0.1,25,0.5,1595.2078453030717
0.1,25,1.0,1593.440716061704
0.1,25,5.0,1698.6045448245688
0.1,25,10.0,1683.9370114738347
0.1,30,,1991.0741095050253
0.1,30,0.05,1878.3989839314315
0.1,30,0.1,1756.5748585525278
0.1,30,0.5,1641.804778979659
0.1,30,1.0,1639.6507502059303
0.1,30,5.0,1683.8247387401211
0.1,30,10.0,1700.6757334894155
0.1,35,,2181.316435257665
0.1,35,0.05,2000.2578466656178
0.1,35,0.1,1864.4712791890938
0.1,35,0.5,1718.2444245816412
0.1,35,1.0,1677.5247545094949
0.1,35,5.0,1704.689745099227
0.1,35,10.0,1683.014748416202
0.1,40,,2361.695285773806
0.1,40,0.05,2109.345416767605
0.1,40,0.1,1965.4176606180633
0.1,40,0.5,1768.3274164057032
0.1,40,1.0,1724.6584224245864
0.1,40,5.0,1742.2483715517599
0.1,40,10.0,1740.0813515310463
0.1,45,,2542.4113074738298
0.1,45,0.05,2206.705026748911
0.1,45,0.1,2046.6082214694925
0.1,45,0.5,1797.7262123609312
0.1,45,1.0,1733.69888763802
0.1,45,5.0,1761.2917895594455
0.1,45,10.0,1723.0921329113742
0.1,50,,2773.2863874904338
0.1,50,0.05,2339.8807987395558
0.1,50,0.1,2162.669876146804
0.1,50,0.5,1861.4973169314915
0.1,50,1.0,1747.43514183828
0.1,50,5.0,1759.1251891903128
0.1,50,10.0,1785.9657260026347
0.5,3,,1099.1311660810643
0.5,3,0.05,1182.0776734611522
0.5,3,0.1,1139.4566013826586
0.5,3,0.5,1098.3659551667504
0.5,3,1.0,1120.727587248815
0.5,3,5.0,1400.954991297024
0.5,3,10.0,1658.8161667325214
0.5,5,,1148.33841665219
0.5,5,0.05,1235.5812779390003
0.5,5,0.1,1180.6670981935654
0.5,5,0.5,1146.8360554251035
0.5,5,1.0,1192.81376340471
0.5,5,5.0,1569.6801615283719
0.5,5,10.0,1738.502061121467
0.5,7,,1209.9329904219799
0.5,7,0.05,1293.0459827886257
0.5,7,0.1,1230.3596613618804
0.5,7,0.5,1210.4995050521181
0.5,7,1.0,1280.0645268086253
0.5,7,5.0,1663.0477704395769
0.5,7,10.0,1717.021471830293
0.5,9,,1282.573526981128
0.5,9,0.05,1357.5079953914217
0.5,9,0.1,1289.5799069937896
0.5,9,0.5,1287.0099253991707
0.5,9,1.0,1371.46832947982
0.5,9,5.0,1654.6308822916199
0.5,9,10.0,1715.2424903292638
0.5,11,,1341.9218052259323
0.5,11,0.05,1404.993131375199
0.5,11,0.1,1334.9792577965404
0.5,11,0.5,1353.882809837965
0.5,11,1.0,1446.9798833944055
0.5,11,5.0,1684.063406079157
0.5,11,10.0,1753.6175007795205
0.5,13,,1407.3593287060012
0.5,13,0.05,1458.10514906705
0.5,13,0.1,1386.3149502212036
0.5,13,0.5,1419.0476130594502
0.5,13,1.0,1515.482705827545
0.5,13,5.0,1709.2013085706174
0.5,13,10.0,1808.694128081736
0.5,15,,1470.797196082686
0.5,15,0.05,1507.9325194691614
0.5,15,0.1,1435.5381049571909
0.5,15,0.5,1474.603923525069
0.5,15,1.0,1566.4131752944566
0.5,15,5.0,1772.6484597140989
0.5,15,10.0,1762.1361266877004
0.5,17,,1535.791868304493
0.5,17,0.05,1558.5448509814103
0.5,17,0.1,1486.4643597484496
0.5,17,0.5,1538.1356782158423
0.5,17,1.0,1626.321477193557
0.5,17,5.0,1786.936218004037
0.5,17,10.0,1784.4332025759675
0.5,20,,1636.4387769798566
0.5,20,0.05,1636.4387769798566
0.5,20,0.1,1565.131117792996
0.5,20,0.5,1621.4292674666017
0.5,20,1.0,1690.191856730377
0.5,20,5.0,1810.8456856207697
0.5,20,10.0,1828.7642827276704
0.5,25,,1801.6391721175708
0.5,25,0.05,1762.1057854328349
0.5,25,0.1,1694.810372817176
0.5,25,0.5,1751.8021104743325
0.5,25,1.0,1774.3857602225871
0.5,25,5.0,1898.0106171032553
0.5,25,10.0,1914.743632120209
0.5,30,,1955.137270672464
0.5,30,0.05,1874.108064738317
0.5,30,0.1,1813.2271526729996
0.5,30,0.5,1859.896797050967
0.5,30,1.0,1870.6845897395972
