topic_model__doc_topic_prior,topic_model__n_components,topic_model__topic_word_prior,score
0.005,40,10.0,1623.8141156101226
0.005,42,0.5,1747.4117542686713
0.005,42,1.0,1643.3093710651156
0.005,42,2.5,1609.042938052314
0.005,42,3.5,1631.4357040755626
0.005,42,5.0,1640.7565184524435
0.005,42,6.5,1615.6499946212843
0.005,42,8.5,1618.0798715751305
0.005,42,10.0,1640.88676584597
0.005,45,0.5,1742.0441319629924
0.005,45,1.0,1655.0832726163146
0.005,45,2.5,1581.0893610341473
0.005,45,3.5,1606.471169140304
0.005,45,5.0,1636.5727610510228
0.005,45,6.5,1631.696228129803
0.005,45,8.5,1596.6564069650326
0.005,45,10.0,1592.5531722214205
0.005,47,0.5,1757.6279817287966
0.005,47,1.0,1640.685664830069
0.005,47,2.5,1619.3061453149012
0.005,47,3.5,1640.3128322569178
0.005,47,5.0,1631.5463992872758
0.005,47,6.5,1622.4031225814483
0.005,47,8.5,1621.718805660598
0.005,47,10.0,1637.2078068403332
0.005,50,0.5,1796.309921833453
0.005,50,1.0,1647.3233307821863
0.005,50,2.5,1624.8347209629735
0.005,50,3.5,1633.658896389142
0.005,50,5.0,1631.266789841142
0.005,50,6.5,1636.5421762612934
0.005,50,8.5,1618.1531983441805
0.005,50,10.0,1641.1589792092605
0.01,5,0.5,1152.4057215658206
0.01,5,1.0,1189.1656328262802
0.01,5,2.5,1345.836200713184
0.01,5,3.5,1437.8025771805012
0.01,5,5.0,1536.1157036896034
0.01,5,6.5,1607.5226035139844
0.01,5,8.5,1673.5126608908377
0.01,5,10.0,1674.360169746554
0.01,7,0.5,1212.9377242448952
0.01,7,1.0,1267.3457310009617
0.01,7,2.5,1445.6533043722511
0.01,7,3.5,1527.0139740818115
0.01,7,5.0,1587.8482316030963
0.01,7,6.5,1645.789010553032
0.01,7,8.5,1659.6444442992567
0.01,7,10.0,1621.826503376046
0.01,10,0.5,1303.9012757002142
0.01,10,1.0,1367.8196376711744
0.01,10,2.5,1500.113982183423
0.01,10,3.5,1519.4650119689118
0.01,10,5.0,1567.6452315922863
0.01,10,6.5,1614.740369068535
0.01,10,8.5,1573.3522875024908
0.01,10,10.0,1587.6938974889777
0.01,12,0.5,1352.8119911276488
0.01,12,1.0,1415.0798831889122
0.01,12,2.5,1530.8294803108115
0.01,12,3.5,1571.049001491976
0.01,12,5.0,1560.93203051702
0.01,12,6.5,1593.1149655529275
0.01,12,8.5,1623.875261632972
0.01,12,10.0,1641.2019527669495
0.01,15,0.5,1401.3607324388126
0.01,15,1.0,1454.592254621793
0.01,15,2.5,1538.5666295787298
0.01,15,3.5,1561.600057624796
0.01,15,5.0,1594.91358275651
0.01,15,6.5,1629.223089588596
0.01,15,8.5,1618.491146755344
0.01,15,10.0,1579.2402504078514
0.01,17,0.5,1455.1440558446727
0.01,17,1.0,1503.4011908337018
0.01,17,2.5,1563.448756429166
0.01,17,3.5,1580.838118755387
0.01,17,5.0,1605.572559904337
0.01,17,6.5,1618.888786396348
0.01,17,8.5,1587.931105994177
0.01,17,10.0,1576.753650195907
0.01,20,0.5,1498.1453500734517
0.01,20,1.0,1522.4623503676376
0.01,20,2.5,1548.7852352264622
0.01,20,3.5,1568.8998396878967
0.01,20,5.0,1595.0286301691972
0.01,20,6.5,1608.4125080398408
0.01,20,8.5,1597.695396072668
0.01,20,10.0,1596.8478765537034
0.01,22,0.5,1531.9039900746927
0.01,22,1.0,1526.3822128295176
0.01,22,2.5,1576.757855526036
0.01,22,3.5,1577.3847824103009
0.01,22,5.0,1626.6223671366415
0.01,22,6.5,1629.2694456564284
0.01,22,8.5,1630.20030149864
0.01,22,10.0,1590.485004651659
0.01,25,0.5,1578.076966678973
0.01,25,1.0,1564.5001463246
0.01,25,2.5,1567.7932656175424
0.01,25,3.5,1592.1656149162352
0.01,25,5.0,1638.5657642879
0.01,25,6.5,1653.1273541659907
0.01,25,8.5,1644.7349979587773
0.01,25,10.0,1607.928706349133
0.01,27,0.5,1584.618522733809
0.01,27,1.0,1564.458178036725
0.01,27,2.5,1568.1603589367987
0.01,27,3.5,1586.7880936675756
0.01,27,5.0,1612.6035603726873
0.01,27,6.5,1621.3171637566422
0.01,27,8.5,1629.9725824932386
0.01,27,10.0,1588.2286682250876
0.01,30,0.5,1618.6317460085588
0.01,30,1.0,1601.4067703890544
0.01,30,2.5,1584.538133358627
0.01,30,3.5,1577.8902167852016
0.01,30,5.0,1608.559409372388
0.01,30,6.5,1616.9017323875032
0.01,30,8.5,1613.9932116176726
0.01,30,10.0,1615.1023956722424
0.01,32,0.5,1655.1816124317854
0.01,32,1.0,1606.646185722546
0.01,32,2.5,1605.2514195855645
0.01,32,3.5,1606.1433422726363
0.01,32,5.0,1612.8705118327955
0.01,32,6.5,1625.605408761295
0.01,32,8.5,1580.7668860512736
0.01,32,10.0,1572.205804445703
0.01,35,0.5,1680.4193348112044
0.01,35,1.0,1622.3221718029347
0.01,35,2.5,1603.1880265235666
0.01,35,3.5,1593.0118188000572
0.01,35,5.0,1613.3898705700503
0.01,35,6.5,1620.439409385983
0.01,35,8.5,1616.2102720176588
0.01,35,10.0,1582.745702752937
0.01,37,0.5,1710.0308015905102
0.01,37,1.0,1620.6376824474796
0.01,37,2.5,1599.7592067907374
0.01,37,3.5,1629.531414378744
0.01,37,5.0,1643.8248701070934
0.01,37,6.5,1633.8957678910112
0.01,37,8.5,1619.6404424935358
0.01,37,10.0,1629.360257650906
0.01,40,0.5,1718.7258475550138
0.01,40,1.0,1651.7562094574964
0.01,40,2.5,1635.1231163811035
0.01,40,3.5,1654.3562424933552
0.01,40,5.0,1641.9391888889943
0.01,40,6.5,1607.7625787760703
0.01,40,8.5,1616.061950600513
0.01,40,10.0,1629.26402446176
0.01,42,0.5,1735.098753960922
0.01,42,1.0,1637.0440457068837
0.01,42,2.5,1608.3916118740217
0.01,42,3.5,1632.0368042412897
0.01,42,5.0,1643.3535940428485
0.01,42,6.5,1619.4346101317278
0.01,42,8.5,1623.2398346133975
0.01,42,10.0,1645.3911970960282
0.01,45,0.5,1731.0991858275477
0.01,45,1.0,1649.3305769435258
0.01,45,2.5,1581.3592816691507
0.01,45,3.5,1608.4503596611848
0.01,45,5.0,1640.9007378226356
0.01,45,6.5,1636.737206146176
0.01,45,8.5,1601.0247518533483
0.01,45,10.0,1598.0611232817812
0.01,47,0.5,1746.7871309760455
0.01,47,1.0,1635.3901381085311
0.01,47,2.5,1619.9290860253336
0.01,47,3.5,1641.7759027674194
0.01,47,5.0,1634.880691759084
0.01,47,6.5,1626.6938832720894
0.01,47,8.5,1627.240010567077
0.01,47,10.0,1642.0221168574617
0.01,50,0.5,1784.9871871055634
0.01,50,1.0,1643.455710357004
0.01,50,2.5,1624.9285901209423
0.01,50,3.5,1635.6821746918922
0.01,50,5.0,1634.4950617274876
0.01,50,6.5,1641.0818614032564
0.01,50,8.5,1624.665585079481
0.01,50,10.0,1647.1527996150858
0.05,5,0.5,1141.1842694441714
0.05,5,1.0,1179.8444271333576
0.05,5,2.5,1337.7543200245868
0.05,5,3.5,1430.5541699495966
0.05,5,5.0,1530.758931193884
0.05,5,6.5,1603.298428631654
0.05,5,8.5,1670.5961841931446
0.05,5,10.0,1674.1656791466053
0.05,7,0.5,1199.2971422658468
0.05,7,1.0,1256.2042617822
0.05,7,2.5,1438.004261591496
0.05,7,3.5,1521.3956155385
0.05,7,5.0,1584.9275860697412
0.05,7,6.5,1644.7685256217712
0.05,7,8.5,1662.6068399254095
0.05,7,10.0,1625.6338113286113
0.05,10,0.5,1288.1621125039348
0.05,10,1.0,1356.7574522293394
0.05,10,2.5,1496.1454757258948
0.05,10,3.5,1518.5165576462327
0.05,10,5.0,1569.4849380268315
0.05,10,6.5,1619.547510419451
0.05,10,8.5,1580.653099152924
0.05,10,10.0,1597.4126357947691
0.05,12,0.5,1336.964526178773
0.05,12,1.0,1405.866045561854
0.05,12,2.5,1530.41308583782
0.05,12,3.5,1572.7208416528397
0.05,12,5.0,1566.2936694462985
0.05,12,6.5,1601.2424604753494
0.05,12,8.5,1633.489052090574
0.05,12,10.0,1652.1337178065266
0.05,15,0.5,1388.7803850706755
0.05,15,1.0,1449.2996861105514
0.05,15,2.5,1543.8011040190115
0.05,15,3.5,1567.9843710873852
0.05,15,5.0,1604.5142875821548
0.05,15,6.5,1642.2997256976098
